Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.06,-0.11358,-0.042345,0,0,0,0.53699,0.00084022,7.4151E-20,-3.9525E-20,0.00084022,-2.9178E-19,0.0012299,0,0,0,0,0,0,package://装配体0.01/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://装配体0.01/meshes/base_link.STL,,joint9-1;joint10-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.11374,0.025923,-0.00060398,0,0,0,0.5014,0.0010413,0.00013799,2.7655E-05,0.00422,1.3794E-06,0.0035828,0,0,0,0,0,0,package://装配体0.01/meshes/link1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/link1.STL,,joint0-1,Origin_ba-l1,,ba-l1,fixed,-0.10243,0.0955,-0.071158,0,-0.7854,3.1416,base_link,0,0,0,,,,,,,,,,,,
notor1,-0.011405,-0.053732,-0.0018481,0,0,0,5.1E-06,2.9492E-10,-2.4202E-13,-1.4129E-11,1.3871E-10,6.4851E-14,2.3985E-10,0,0,0,0,0,0,package://装配体0.01/meshes/notor1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://装配体0.01/meshes/notor1.STL,,大电机-1/ZHUTI-1,Origin_join1,Axis1,join1,fixed,0.182,-0.0027355,0,0,-0.58613,3.1416,link1,0,0,0,,,,,,,,,,,,
link2,0.11131,0.015586,0.00010431,0,0,0,0.24647,0.0003848,0.00018751,-7.7475E-07,0.0006457,-4.4654E-08,0.00082112,0,0,0,0,0,0,package://装配体0.01/meshes/link2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/link2.STL,,joint8-1;joint2-1,Origin_m1-l2,Axis_m1-l2,m1-l2,continuous,0,0,0,0,0.21178,3.1416,notor1,0,1,0,,,,,,,,,,,,
motor2,0.1118,0.033957,-0.00014359,0,0,0,0.11836,4.1228E-05,-4.787E-11,-2.8556E-08,4.8559E-05,1.872E-08,4.1296E-05,0,0,0,0,0,0,package://装配体0.01/meshes/motor2.STL,0.62745,0.62745,0.64314,1,0,0,0,0,0,0,package://装配体0.01/meshes/motor2.STL,,电机-1/03-1;电机-1/02-1;电机-1/01-1,Origin_joint2,Axis2,joint2,fixed,0.25731,-0.055576,-0.11098,3.1416,-1.5569,-1.5708,link2,0,0,0,,,,,,,,,,,,
link3,0.028389,-0.038328,-2.1221E-10,0,0,0,0.10333,4.4496E-05,-1.631E-07,5.468E-14,0.00010556,3.2186E-12,7.8301E-05,0,0,0,0,0,0,package://装配体0.01/meshes/link3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/link3.STL,,joint4-1;joint5-1,Origin_m2-l3,Axis_m2-l3,m2-l3,continuous,0.1118,0,0,0,0,3.1416,motor2,0,1,0,,,,,,,,,,,,
motor3,0.11184,0.033957,1.2663E-05,0,0,0,0.11836,4.1278E-05,1.1455E-08,2.1899E-08,4.8559E-05,3.5742E-08,4.1247E-05,0,0,0,0,0,0,package://装配体0.01/meshes/motor3.STL,0.62745,0.62745,0.64314,1,0,0,0,0,0,0,package://装配体0.01/meshes/motor3.STL,,电机-2/03-1;电机-2/02-1;电机-2/01-1,Origin_joint3,Axis3,joint3,fixed,0.060993,0.017193,-0.096822,0,-1.0472,-1.5708,link3,0,0,0,,,,,,,,,,,,
link4,0.018271,-0.14695,-0.00074288,0,0,0,0.33396,0.0013927,5.5835E-05,9.5717E-06,0.00039863,-3.2438E-06,0.0014754,0,0,0,0,0,0,package://装配体0.01/meshes/link4.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/link4.STL,,joint3-1;joint1-1,Origin_m3-l4,Axis_m3-l4,m3-l4,continuous,0.1118,0.01022,0,-3.1416,0.99332,0,motor3,0,1,0,,,,,,,,,,,,
motor4,0.11182,0.033957,-4.8275E-05,0,0,0,0.11836,4.1259E-05,7.2976E-09,-5.8869E-08,4.8559E-05,1.6803E-08,4.1265E-05,0,0,0,0,0,0,package://装配体0.01/meshes/motor4.STL,0.62745,0.62745,0.64314,1,0,0,0,0,0,0,package://装配体0.01/meshes/motor4.STL,,电机-3/03-1;电机-3/02-1;电机-3/01-1,Origin_joint4,Axis4,joint4,fixed,0.038707,-0.19471,-0.062982,-3.1416,-0.59843,-1.5708,link4,0,0,0,,,,,,,,,,,,
link5,-0.065523,-0.010775,0.030027,0,0,0,0.21836,0.00086076,0.00011477,0.00014583,0.00085159,-0.0002093,0.00072958,0,0,0,0,0,0,package://装配体0.01/meshes/link5.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/link5.STL,,joint6-1,Origin_m4-l5,Axis_m4-l5,m4-l5,continuous,0.1118,0,0,0,0.57266,-3.1416,motor4,0,1,0,,,,,,,,,,,,
motor5,0.11181,0.034057,-5.171E-05,0,0,0,0.11836,4.124E-05,-1.9853E-08,-1.7125E-09,4.8559E-05,6.6781E-09,4.1284E-05,0,0,0,0,0,0,package://装配体0.01/meshes/motor5.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/motor5.STL,,电机-4/02-1;电机-4/03-1;电机-4/01-1,Origin_joint5,Axis5,joint5,fixed,-0.060894,0.083192,-0.017398,3.1416,-1.2945,-1.5708,link5,0,0,0,,,,,,,,,,,,
link6,0.0040593,-0.0026972,-0.060275,0,0,0,0.069293,0.00016773,-1.2242E-06,6.9929E-06,0.00016928,7.3117E-06,2.4796E-05,0,0,0,0,0,0,package://装配体0.01/meshes/link6.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://装配体0.01/meshes/link6.STL,,基座-1,Origin_m5-l6,Axis_m5-l6,m5-l6,continuous,0.1118,0.063039,0,1.5708,-0.7854,0,motor5,0,0,1,,,,,,,,,,,,
